Samples (same as 2018 & 2019),%N,%C
C1 SearsPoint 0-10 cm 2016,0.15,1.84
C2 SearsPoint 0-10 cm 2016,0.25,2.87
C3 SearsPoint 0-10 cm 2016,0.17,2.00
C4 SearsPoint 0-10 cm 2016,0.22,2.63
C5 SearsPoint 0-10 cm 2016,0.18,2.09
T1 SearsPoint 0-10 cm 2016,0.28,3.24
T2 SearsPoint 0-10 cm 2016,0.20,2.25
T3 SearsPoint 0-10 cm 2016,0.23,2.66
T4 SearsPoint 0-10 cm 2016,0.20,2.34
T5 SearsPoint 0-10 cm 2016,0.21,2.60
C1 SearsPoint 0-10 cm 2017,0.14,1.59
C2 SearsPoint 0-10 cm 2017,0.14,1.70
C3 SearsPoint 0-10 cm 2017,0.18,2.01
C4 SearsPoint 0-10 cm 2017,0.14,1.76
C5 SearsPoint 0-10 cm 2017,0.18,2.05
T1 SearsPoint 0-10 cm 2017,0.18,2.27
T2 SearsPoint 0-10 cm 2017,0.19,2.27
T3 SearsPoint 0-10 cm 2017,0.18,2.12
T4 SearsPoint 0-10 cm 2017,0.14,1.60
T5 SearsPoint 0-10 cm 2017,0.22,2.62
C1 SearsPoint 0-10 cm 2018,0.14,1.74
C2 SearsPoint 0-10 cm 2018,0.23,2.88
C3 SearsPoint 0-10 cm 2018,0.19,2.35
C4 SearsPoint 0-10 cm 2018,0.15,1.89
C5 SearsPoint 0-10 cm 2018,0.16,1.93
T1 SearsPoint 0-10 cm 2018,0.13,1.55
T2 SearsPoint 0-10 cm 2018,0.19,2.13
T3 SearsPoint 0-10 cm 2018,0.20,2.55
T4 SearsPoint 0-10 cm 2018,0.16,1.76
T5 SearsPoint 0-10 cm 2018,0.30,3.47
C1 SearsPoint 0-10 cm 2019,0.15,1.79
C1 SearsPoint 10-30 cm 2019,0.07,0.81
C2 SearsPoint 0-10 cm 2019,0.18,2.30
C2 SearsPoint 10-30 cm 2019,0.08,0.95
C3 SearsPoint 0-10 cm 2019,0.14,1.60
C3 SearsPoint 10-30 cm 2019,0.07,0.73
C4 SearsPoint 0-10 cm 2019,0.15,1.74
C4 SearsPoint 10-30 cm 2019,0.08,0.83
C5 SearsPoint 0-10 cm 2019,0.21,2.43
C5 SearsPoint 10-30 cm 2019,0.09,1.12
T1 SearsPoint 0-10 cm 2019,0.17,2.01
T1 SearsPoint 10-30 cm 2019,0.10,1.18
T2 SearsPoint 0-10 cm 2019,0.19,2.35
T2 SearsPoint 10-30 cm 2019,0.10,1.09
T3 SearsPoint 0-10 cm 2019,0.18,2.16
T3 SearsPoint 10-30 cm 2019,0.08,0.84
T4 SearsPoint 0-10 cm 2019,0.18,2.25
T4 SearsPoint 10-30 cm 2019,0.08,0.93
T5 SearsPoint 0-10 cm 2019,0.16,1.96
T5 SearsPoint 10-30 cm 2019,0.09,1.00
C1 Yolo2 0-10 cm 2016,0.14,1.41
C2 Yolo2 0-10 cm 2016,0.12,1.11
C3 Yolo2 0-10 cm 2016,0.20,2.20
C4 Yolo2 0-10 cm 2016,0.19,2.01
C5 Yolo2 0-10 cm 2016,0.22,2.29
T1 Yolo2 0-10 cm 2016,0.20,2.14
T2 Yolo2 0-10 cm 2016,0.17,1.74
T3 Yolo2 0-10 cm 2016,0.20,2.11
T4 Yolo2 0-10 cm 2016,0.13,1.48
T5 Yolo2 0-10 cm 2016,0.20,2.03
C1 Yolo2 0-10 cm 2017,0.18,1.86
C2 Yolo2 0-10 cm 2017,0.17,1.78
C3 Yolo2 0-10 cm 2017,0.19,2.00
C4 Yolo2 0-10 cm 2017,0.15,1.53
C5 Yolo2 0-10 cm 2017,0.18,1.88
T1 Yolo2 0-10 cm 2017,0.18,1.87
T2 Yolo2 0-10 cm 2017,0.18,1.89
T3 Yolo2 0-10 cm 2017,0.16,1.59
T4 Yolo2 0-10 cm 2017,0.18,1.84
T5 Yolo2 0-10 cm 2017,0.19,1.91
C1 Yolo2 0-10 cm 2018,0.18,1.95
C2 Yolo2 0-10 cm 2018,0.14,1.39
C3 Yolo2 0-10 cm 2018,0.16,1.49
C4 Yolo2 0-10 cm 2018,0.15,1.62
C5 Yolo2 0-10 cm 2018,0.15,1.49
T1 Yolo2 0-10 cm 2018,0.18,1.86
T2 Yolo2 0-10 cm 2018,0.19,2.06
T3 Yolo2 0-10 cm 2018,0.19,1.95
T4 Yolo2 0-10 cm 2018,0.19,2.09
T5 Yolo2 0-10 cm 2018,0.14,1.48
C1 Yolo2 0-10 cm 2019,0.21,2.06
C1 Yolo2 10-30 cm 2019,0.11,1.01
C2 Yolo2 0-10 cm 2019,0.16,1.79
C2 Yolo2 10-30 cm 2019,0.09,0.87
C3 Yolo2 0-10 cm 2019,0.17,1.68
C3 Yolo2 10-30 cm 2019,0.09,0.89
C4 Yolo2 0-10 cm 2019,0.18,1.89
C4 Yolo2 10-30 cm 2019,0.10,0.88
C5 Yolo2 0-10 cm 2019,0.18,1.93
C5 Yolo2 10-30 cm 2019,0.09,0.83
T1 Yolo2 0-10 cm 2019,0.21,2.40
T1 Yolo2 10-30 cm 2019,0.10,0.93
T2 Yolo2 0-10 cm 2019,0.18,2.01
T2 Yolo2 10-30 cm 2019,0.09,0.83
T3 Yolo2 0-10 cm 2019,0.15,1.55
T3 Yolo2 10-30 cm 2019,0.09,0.85
T4 Yolo2 0-10 cm 2019,0.24,2.81
T4 Yolo2 10-30 cm 2019,0.09,0.91
